Date,Open,High,Low,Close,Adj Close,Volume
2017-10-04,67.790001,68.220001,67.480003,67.660004,67.660004,4289700
2017-10-05,67.750000,68.099998,66.959999,67.720001,67.720001,3451700
2017-10-06,67.489998,68.080002,67.320000,67.849998,67.849998,1939100
2017-10-09,67.849998,69.059998,67.750000,68.739998,68.739998,2763900
2017-10-10,68.510002,69.510002,68.510002,68.930000,68.930000,5689000
2017-10-11,68.750000,69.379997,68.709999,69.220001,69.220001,4251800
2017-10-12,69.000000,69.230003,67.800003,67.910004,67.910004,4111000
2017-10-13,68.169998,68.180000,67.379997,67.519997,67.519997,3380900
2017-10-16,67.910004,68.129997,67.360001,68.040001,68.040001,4523200
2017-10-17,68.000000,68.099998,66.629997,66.779999,66.779999,4264400
2017-10-18,67.199997,68.040001,66.980003,67.790001,67.790001,5361800
2017-10-19,66.970001,67.540001,66.650002,67.449997,67.449997,4271300
2017-10-20,67.650002,68.360001,67.449997,67.510002,67.510002,7149400
2017-10-23,67.629997,68.000000,66.400002,66.510002,66.510002,3959100
2017-10-24,66.690002,67.199997,66.400002,66.610001,66.610001,3667000
2017-10-25,66.660004,67.040001,65.190002,65.400002,65.400002,4550600
2017-10-26,65.500000,66.010002,65.070000,65.570000,65.570000,4967300
2017-10-27,66.599998,67.730003,65.870003,67.519997,67.519997,7604700
